plate	cycle	well	tile	channel
1	1	3	0	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	1	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	2	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	3	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	4	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	5	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	6	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	7	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	8	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	9	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	10	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	11	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	12	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	13	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	14	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	15	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	16	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	17	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	18	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	19	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	20	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	21	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	22	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	23	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	24	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	25	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	26	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	27	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	28	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	29	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	30	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	31	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	32	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	33	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	34	DAPI,Cy3,AF594,Cy5,Cy7
