plate	cycle	well	channel	tile
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	0
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	1
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	2
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	3
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	4
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	5
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	6
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	7
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	8
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	9
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	10
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	11
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	12
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	13
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	14
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	15
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	16
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	17
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	18
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	19
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	20
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	21
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	22
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	23
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	24
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	25
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	26
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	27
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	28
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	29
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	30
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	31
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	32
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	33
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	34
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	35
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	36
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	37
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	38
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	39
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	40
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	41
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	42
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	43
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	44
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	45
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	46
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	47
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	48
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	49
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	50
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	51
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	52
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	53
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	54
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	55
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	56
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	57
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	58
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	59
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	60
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	61
