sample_fp	plate	cycle	well	channel
/Volumes/SecondaryOPS_TU/SBS/iBAR1_test/plate1_10x_iBAR1_c1_Well3_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2	1	1	3	DAPI,Cy3,AF594,Cy5,Cy7
/Volumes/SecondaryOPS_TU/SBS/iBAR1_test/plate1_10x_iBAR1_c1_Well4_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0001.nd2	1	1	4	DAPI,Cy3,AF594,Cy5,Cy7
/Volumes/SecondaryOPS_TU/SBS/iBAR1_test/plate1_10x_iBAR1_c1_Well5_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2	1	1	5	DAPI,Cy3,AF594,Cy5,Cy7
/Volumes/SecondaryOPS_TU/SBS/iBAR1_test/plate1_10x_iBAR1_c1_Well6_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0003.nd2	1	1	6	DAPI,Cy3,AF594,Cy5,Cy7
/Volumes/SecondaryOPS_TU/SBS/iBAR1_test/plate1_10x_iBAR1_c2_Well3_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2	1	2	3	DAPI,Cy3,AF594,Cy5,Cy7
/Volumes/SecondaryOPS_TU/SBS/iBAR1_test/plate1_10x_iBAR1_c2_Well4_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0001.nd2	1	2	4	DAPI,Cy3,AF594,Cy5,Cy7
/Volumes/SecondaryOPS_TU/SBS/iBAR1_test/plate1_10x_iBAR1_c2_Well5_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0002.nd2	1	2	5	DAPI,Cy3,AF594,Cy5,Cy7
/Volumes/SecondaryOPS_TU/SBS/iBAR1_test/plate1_10x_iBAR1_c2_Well6_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0003.nd2	1	2	6	DAPI,Cy3,AF594,Cy5,Cy7
/Volumes/SecondaryOPS_TU/SBS/iBAR1_test/plate1_10x_iBAR1_c3_Well3_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2	1	3	3	DAPI,Cy3,AF594,Cy5,Cy7
/Volumes/SecondaryOPS_TU/SBS/iBAR1_test/plate1_10x_iBAR1_c3_Well4_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0001.nd2	1	3	4	DAPI,Cy3,AF594,Cy5,Cy7
/Volumes/SecondaryOPS_TU/SBS/iBAR1_test/plate1_10x_iBAR1_c3_Well5_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0002.nd2	1	3	5	DAPI,Cy3,AF594,Cy5,Cy7
/Volumes/SecondaryOPS_TU/SBS/iBAR1_test/plate1_10x_iBAR1_c3_Well6_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0002.nd2	1	3	6	DAPI,Cy3,AF594,Cy5,Cy7
/Volumes/SecondaryOPS_TU/SBS/iBAR1_test/plate1_10x_iBAR1_c4_Well3_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2	1	4	3	DAPI,Cy3,AF594,Cy5,Cy7
/Volumes/SecondaryOPS_TU/SBS/iBAR1_test/plate1_10x_iBAR1_c4_Well4_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0001.nd2	1	4	4	DAPI,Cy3,AF594,Cy5,Cy7
/Volumes/SecondaryOPS_TU/SBS/iBAR1_test/plate1_10x_iBAR1_c4_Well5_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0002.nd2	1	4	5	DAPI,Cy3,AF594,Cy5,Cy7
/Volumes/SecondaryOPS_TU/SBS/iBAR1_test/plate1_10x_iBAR1_c4_Well6_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0003.nd2	1	4	6	DAPI,Cy3,AF594,Cy5,Cy7
