sample_fp	plate	cycle	well	channel
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9merplate1_10x_c1_Well3_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	1	3	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/plate1_10x_c1_Well6_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0003.nd2"	1	1	6	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/plate1_10x_c2_Well3_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	2	3	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/plate1_10x_c2_Well6_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0003.nd2"	1	2	6	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/plate1_10x_c3_Well3_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	3	3	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/plate1_10x_c3_Well6_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0003.nd2"	1	3	6	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/custom_9mer/plate1_10x_c4_Well3_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	4	3	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/plate1_10x_c4_Well6_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0003.nd2"	1	4	6	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/custom_9mer/plate1_10x_c5_Well3_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	5	3	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/custom_9mer/plate1_10x_c5_Well6_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	5	6	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/plate1_10x_c6_Well3_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	6	3	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/plate1_10x_c6_Well6_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0001.nd2"	1	6	6	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/plate1_10x_c7_Well3_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	7	3	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/plate1_10x_c7_Well6_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0002.nd2"	1	7	6	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/plate1_10x_c8_Well3_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	8	3	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/plate1_10x_c8_Well6_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0001.nd2"	1	8	6	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/plate1_10x_c9_Well3_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	9	3	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/custom_9mer/plate1_10x_c9_Well6_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0002.nd2"	1	9	6	"DAPI,Cy3,AF594,Cy5,Cy7"
