sample_fp	plate	cycle	well	channel
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c1_Well4_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0001.nd2"	1	1	4	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c2_Well4_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0001.nd2"	1	2	4	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c3_Well4_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0001.nd2"	1	3	4	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c4_Well4_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0001.nd2"	1	4	4	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c5_Well4_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0001.nd2"	1	5	4	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c6_Well4_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	6	4	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c7_Well4_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0001.nd2"	1	7	4	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c8_Well4_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	8	4	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c9_Well4_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	9	4	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c10_Well4_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	10	4	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c11_Well4_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	11	4	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c12_Well4_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	12	4	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c1_Well5_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0000.nd2"	1	1	5	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c2_Well5_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0002.nd2"	1	2	5	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c3_Well5_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0002.nd2"	1	3	5	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c4_Well5_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0002.nd2"	1	4	5	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c5_Well5_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0002.nd2"	1	5	5	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c6_Well5_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0001.nd2"	1	6	5	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c7_Well5_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0002.nd2"	1	7	5	"DAPI,Cy3,AF594,Cy5,Cy7"
"/home/tubhi/secondary-OPS-analysis/analysis/nd2_files/sbs_data/dual_sgrna/plate1_10x_c8_Well5_ChannelDAPI,Cy3,AF594,Cy5,Cy7_Seq0001.nd2"	1	8	5	"DAPI,Cy3,AF594,Cy5,Cy7"
